strategy,sharpe,max_drawdown,alpha
Moving Average,0.2789942017676944,-0.1647236460783067,-0.000379739195325363
Momentum,0.2777644013191379,-0.16514788131116176,-0.00032067544763838933
Mean Reversion,0.5300295476065624,-0.32764231116998843,-0.0002884451799899962
